LOR-ID,Name,Anschrift,PLZ / Ort,Art 1,Art 2,Art 3,Art 4,Art 5,Art 6
07030301,Ruppin-Grundschule/ Sportplatz Offenbacher Straße,Offenbacher Straße 5a,14197 Berlin,Halle >=10x12m bis <15x27m (3x),Jugend- und Mehrzweckraum,Kleinspielfeld >= 5.000m²,Kleinspielfeld <5.000m²,LAEA (Laufb. / Springen / Kugelstoßen),
07030301,Friederich-Bergius-Schule,Perelsplatz 6-9,12159 Berlin, Kleinspielfeld <5.000m² (2x),LAEA (Laufbahn),,,,
07030301,Sportplatz Wiesbadener Straße 80/81,Wiesbadener Str. 80/81,12161 Berlin,Kleinspielfeld<5000m²,LAEA (Springen) (2x),,,,
07030301,SpH Rheingau-Gymnasium,Schwalbacher Straße 3-4,12161 Berlin,Halle >=10x12m bis < 15x27m,,,,,
07030301,SpH Stechlinsee-Grundschule,Rheingaustraße 7,12161 Berlin,Halle >=10x12m bis < 15x27m (2x),LAEA (Springen),,,,
07030301,SpH Paul-Nartorp-Gymnasium,Goßlerstraße 13-15,12161 Berlin,Halle >=10x12m bis < 15x27m (2x),Kleinsthalle,Kleinspielfeld <5.000m (2x9,,,
07030302,SpH Friedenauer Gemeinschaftsschule,Otzenstraße 16-17,12159 Berlin,Halle >=10x12m bis < 15x27m,,,,,
07030302,Eisack-Sportplatz,Eisackstraße 15,10827 Berlin,Kleinspielfeld >= 5.00m²,LAEA (Springen),,,,
07030302,Fläming-Grundschule,Illstraße 4-6,12161 Berlin,Halle <= 15x27m bis <22x44m,Jugend- und Mehrzweckraum,Kleinspielfeld <5.000m²,LAEA (Laufbahn / Springen),,
07030303,SpH Schöneberg,Sachsendamm 12,10829 Berlin,Halle >=10x12m bis < 15x27m,Halle >=22x44m bis 27x45m,Jugend- und Mehrzweckraum ,,,
07030303,Sportschule des LSB,Priesterweg 4,10829 Berlin,"Kleinsthalle, Sportraum",Konditions- und Kraftraum,,,,
07030303,Willy-Weyer-Akademie,Priesterweg 6,10829 Berlin,Halle >=10x12m bis <15x27m,,,,,
07030303,Dominicus-Sportplatz,Priesterweg 4,10829 Berlin,400m Rundlaufbahn,Großspielfeld,Gymnastikwiese (2x),Kleinspielfeld <5.000m²,LAEA (Laufb. / Springen (2x) / Kugelst.,
07030303,Sport-u. Lehrschwimmhalle,Sachsendamm 11,10829 Berlin,Hallenbad,,,,,
07030303,SpA Vorarlberger Damm,Vorarlberger Damm 33,12157 Berlin,Konditions- und Kraftraum,Jugend- und Mehrzweckraum,400m Rundlaufbahn,Großspielfeld (3x),Kleinspielfeld <5.000m² (2x),LAEA (Kugelstoßen / Laufbahn / Springen (2x))
07030303,Tennisanlage OSC,Vorarlberger Damm 37,12157 Berlin,Jugend- und Mehrzweckraum,Tennisanlage (3x),,,,
07030303,Berliner Turnerbund,Vorarlberger Damm 39,12157 Berlin,Halle >=10x12m bis <15x27m,Halle <= 15x27m bis <22x44m,Konditions- und Kraftraum,Jugend- und Mehrzweckraum,,
07030303,SpA der Friedenauer Gemeinschaftsschule,Rubensstraße 63,12157 Berlin,Halle >=10x12m bis <15x27m,,Kleinspielfeld <5.000m²,,,
07030303,SpH der Friedenauer Gemeinschaftsschule,Grazer Platz 1-3,12157 Berlin,Halle >=10x12m bis <15x27m (2x),,,,,
07030303,Prignitz-Schule,Pöppelmannstraße 2,12157 Berlin,Halle <= 15x27m bis <22x44m,Kleinspielfeld <5.000m²,LAEA (Laufbahn / Springen),,,