PLR,Name,Straße,Hausnummer,PLZ,Träger,Kapazität
07030301,EKT - Berliner Malbüro,Mainauerstraße,6,12161,Belriner Malbüro e.V.,15
07030301,Waldorfkindergarten Friedenau,Sieglindestraße,1,12159,EI für Waldorfpädagogik in Schöneberg e.V.,42
07030301,EKT Hauruck,Perelsplatz,10,12159,EI-Kindertagesstätte Hau-Ruck e.V.,15
07030301,EKT Sieglindestraße 8,Sieglindestraße,8,12159,EI KITA Sieglindestraße 8,17
07030301,Kita Philippus,Stierstraße,17,12159,Ev. Kirchengemeinde Philippus-Nathanael,63
07030301,Kita Paul und Anna,Goßlerstraße,3,12161,Ev. Kirchengemeinde zum guten Hirten,61
07030301,EKG - Bundesallee 76A,Bundesallee,76A,12161,Ev. Kirchengemeinde zum guten Hirten,16
07030301,EKT Friedenauer Kinder,Hertelstraße,1,15161,Friedenauer Kinder e.V.,15
07030301,LoriKids,Stierstraße,7,12159,kids in Berlin gUG,25
07030301,Kinderladen Atze und Co.,Wilhelmshöher Straße,9,12161,Kinderladen Atze und Co e.V.,15
07030301,Kita Fri-Willi,Friedrich-Wilhelm-Platz,12,12161,Kindertagesstätten Süd-West,100
07030301,Kita Fehlerstraße,Fehlerstraße,2,12161,Kindertagesstätten Süd-West,133
07030301,EKT - Kraut und Rüben,Schwalbacher Straße,8,12161,Kraut und Rüben e.V.,15
07030301,EKT - Milchzahn,Bundesallee,76,12161,Milchzahn e-V-,18
07030301,Bilinguales Montessori Kinderhaus Friedenau,Handjerystraße,46,12161,Montessori und Friends Education gGmbH,100
07030301,Kita Lauterstraße 40,Lauterstraße,40,12161,Nachbarschaftsheim Schöneberg e.V.,15
07030301,Kita Lauterstraße 30,Lauterstraße,30,12161,Nachbarschaftsheim Schöneberg e.V.,20
07030301,Kita Rheingaustraße des Pestalozzi-Fröbel-Hauses,Rheingaustraße,28,12161,PFH,53
07030301,Kita Perelsplatz des Pestalozzi-Fröbel-Hauses,Perelsplatz,5,12161,PFH,75
07030301,EKT - Rappelschlößchen,Schwalbacher Straße,10,12161,Rappelschlößchen e.V.,21
07030301,Kita Rubin,Handjerystraße,60,12161,Rubin e.V.,35
07030301,Schöneberger Eltern-Initiativ-Kita,Sieglindestraße,4,12159,Schöneberger Eltern-Initiativ-Kindertagesstätte e.V.,15
07030301,Kita Villa Anne Vorschule,Niedstraße,30,12159,Schöneberger Vorschulerziehung e.V.,40
07030301,Kita Villa Anne,Schmargendorfer Straße,22,12159,Schöneberger Vorschulerziehung e.V.,64
07030301,Kita Berliner Spatzen,Hähnelstraße,15,12159,Verein zur Förderung der Mehrsprachigkeit,27
07030301,Waldorfkindergarten Elfenreigen,Lauterstraße,26,12159,Waldorfkindergarten Elfenreigen e.V.,30
07030302,Heilsarmee Kita Volltreffer,Fregestraße,13,12159,Die Heilarmee Deutschland,55
07030302,Kinderladen "Friedenauer Spatzen",Sponholzstraße,51,12159,Frecher Spatz e.V.,25
07030302,Humanistische Kita Friedenauer Strolche,Sponholzstraße,16,12159,Humanistischer Verband Deutschland,175
07030302,Krippe Holsteinische Straße,Holsteinische Straße,30,12159,Nachbarschaftsheim Schöneberg e.V.,28
07030302,Kita Sponholzstraße,Sponholzstraße,15,12159,Nachbarschaftsheim Schöneberg e.V.,45
07030302,Kita Hedwigstraße,Hedwigstraße,13,12159,Nachbarschaftsheim Schöneberg e.V.,56
07030302,Kita Wielandstraße,Wielandstraße,23,12157,Nachbarschaftsheim Schöneberg e.V.,28
07030302,Kita Fregestraße,Fregestraße,21,12159,Orte für Kinder GmbH,119
07030302,Kita Villa Anna Krippe,Holsteinische Straße,33A,12161,Schöneberger Vorschulerziehung e.V.,12
07030302,EKT Trotzköppchen,Hedwigstraße,12,12159,Trotzköppchen e.V.,16
07030303,EKT Großstadtpflänzchen,Cranachstraße,39,12157,EKT Großstadtpflänzchen e.V.,16
07030303,Kita Nathanael,Grazer Platz,4,12157,Ev. Kirchengemeinde Philippus-Nathanael,77
07030303,EKT Friedenauer Elterinitiative,Menzelstraße,26,12157,Friedenauer Elterninitiative für eine Kindertagesstätte e.V.,20
07030303,EKT Harrys Kid's Club,Peter-Vischer-Straße,12,12157,Harry Kid's Club e.V.,26
07030303,IB-Kita,Vorarlberger Damm,17,12157,Internationaler Bund,100
07030303,Kita der kath. Kirchengemeinde St. Norbert,Rubensstraße,74,12157,Kath. Kirchengemeinde St. Norbert,50
07030303,Kita Prellerweg,Prellerweg,5,12157,Kindertagesstätten Süd-West,125
07030303,Kita Riemenschneiderweg,Riemenschneiderweg,12,12157,Nachbarschaftsheim Schöneberg e.V.,134