LOR-ID,0<6 J.,6<15 J.,15<18 J.,18<25 J.,25<55 J.,55<65 J.,65<80 J.,80 J. und Ã¤lter
07070701 (abs.),478,767,307,637,3829,1420,2244,681
07070701 (%),4.6,7.4,3,6.1,36.9,13.7,21.7,6.6
07070702 (abs.),518,783,268,703,4008,1482,2207,502
07070702 (%),4.9,7.5,2.6,6.7,38.3,14.2,21.1,4.8
07070703 (abs.),278,509,195,468,2583,998,1833,516
07070703 (%),3.8,6.9,2.6,6.3,35,13.5,24.8,7
07070704 (abs.),498,870,325,606,2929,1003,1592,385
07070704 (%),6.1,10.6,4,7.4,35.7,12.2,19.4,4.7
07070705 (abs.),327,589,226,464,2696,984,1434,299
07070705 (%),4.7,8.4,3.2,6.6,38.4,14,20.4,4.3
07070706 (abs.),201,310,107,282,1419,496,752,332
07070706 (%),5.2,8,2.7,7.2,36.4,12.7,19.3,8.5
07070707 (abs.),146,198,83,162,930,432,736,150
07070707 (%),5.1,7,2.9,5.7,32.8,15.2,25.9,5.3
070707  (abs.),2446,4026,1511,3322,18394,6815,10798,2865
070707 (%),4.9,8,3,6.6,36.7,13.6,21.5,5.7
07 (abs.),18109,24372,8232,25081,150477,44156,54443,16291
07 (%),5.3,7.1,2.4,7.4,44.1,12.9,16,4.8