LOR-ID,Name,Straße,Anzahl der Parzellen,Fläche in m²,Landeseigentum
07040401,KgA am Flughafen,Columbiadamm,99,21100,nein
07040401,KgA Hansakorso,Werner-Voß-Damm 45,51,16784,ja
07040401,KgA Hansakorso,Werner-Voß-Damm 45,17,5906,ja
07040401,KgA Papestraße,General-Pape-Straße 42,139,38682,nein
07040401,KgA Papestraße,General-Pape-Straße 42,23,6948,ja
07040401,KgA Papestraße,General-Pape-Straße 42,54,18288,nein
07040401,KgA Steingrube,Loewenhardtdamm 22,27,8597,ja
07040401,KgA Wittelsbacher Korso,Wolffring 76-84 / Badener Ring 31,20,5403,ja
07040401,KgA Zähringer Korso,Hessenring 27-45 u.a.,96,15642,ja
07040401,KgA Tempelhofer Berg,Tempelhofer Damm 103,33,12820,nein
07040401,KgA Neuköllner Berg,Oderstr. / Flughafen Tempelhof,23,7430,nein
07040403,KgA Borussia,Ringbahnstraße 109-115,18,4094,ja
07040403,KgA Feldschlößchen,Eresburgstr.7-11 / Arenholzsteig,11,2747,ja
07040404,KgA Erntesegen,Ringstraße 9-10,21,8208,ja
07040404,KgA Eschenallee,Paul-Schmidt-Straße / Marienhöher Weg,57,18738,ja
07040404,KgA Geiserich,Geiserichstraße,30,12434,ja
07040404,KgA Marienhöhe,Ingostraße,54,20147,ja
07040404,KgA Röblingstraße-Nord,"Röblingstr. 68/72,84/88",15,6026,nein
07040405,KgA Albrechtshöhe,Felixstr. / östlich Komturstr.,81,32495,ja
07040405,KgA Albrechtshöhe,Felixstr. / östlich Komturstr.,34,13526,ja
07040405,KgA Bergfrieden,Komturstraße,94,35219,ja
07040405,KgA Feldblume,Tempelhofer Damm 163-165,99,33085,ja
07040405,KgA Feldblume,Tempelhofer Damm 163-165,4,1500,ja
07040405,KgA Friede und Arbeit,Götzstraße 20,7,2282,ja
07040405,KgA Frieden,Gottlieb-Dunkel-Straße 30/42,202,90313,ja
07040405,KgA Germania,Götzstraße 36,10,3228,ja
07040405,KgA Lebensfreude,Komturstraße,101,54103,nein
07040405,KgA Südring,Komturstraße 71-73,30,15600,ja